8/6N1/4Q3/8/7q/3K2k1/8/8 w - - 0 1
8/5k2/6p1/7p/5P2/2R3PK/3r2BP/6b1 w - - 27 47
8/p5kp/2pR1rb1/1p2R1p1/1P3p2/P7/2PK3P/8 w - - 5 31
8/5pp1/3k3p/4p3/4P1PP/1b3K2/8/R7 w - - 13 56
8/1p4k1/2p3p1/rrPp1p1p/p3q2P/P1R1P1P1/1PQ2PK1/2R5 w - - 2 44
8/p2r1q1k/R2pp2p/1Pp1p1p1/2P1P3/3P3P/5PP1/4Q1K1 w - - 4 50
8/3R4/5pk1/7p/1b2PPp1/6P1/3N3P/r2K4 w - - 2 43
8/p2rb1p1/4k3/2pnP3/3r4/1P4P1/PN1BR1K1/5R2 w - - 12 50
8/1p2r1k1/5bp1/pQ2pp2/P2P4/4PB1P/6Pq/1KR5 w - - 0 56
8/5p1p/1R4p1/p1rk2B1/Pb4P1/5K2/5P1P/8 w - - 25 42
8/5pp1/4p1k1/2R1P2p/4P2P/6P1/1r2b3/6KB w - - 18 64
8/5p1k/3B2b1/p1p2r2/2P3pp/1P1p4/P5PP/4R1K1 w - - 0 35
8/p7/1p2k3/6p1/1PPR4/P3K3/6P1/5r2 w - - 5 55
8/1p5p/2bk2p1/3p1pPP/P3nP2/1P3B2/rB6/1R4K1 w - - 5 39
8/4b1kp/pr2pp2/2p2p2/R1n5/PP2P1P1/4KP1P/2N5 w - - 0 28
8/1pk5/p7/2P1n3/1P6/P2K4/1bN3B1/8 w - - 6 50
8/R4n2/5k2/7P/P4K2/3r4/8/8 w - - 1 61
8/2p5/7k/1p1P1Bn1/7p/7P/2R2RP1/q5K1 w - - 2 65
8/2qb2k1/3b1p2/1p1pnp2/1P1N1B2/2P3P1/3Q3P/r2B1RK1 w - - 9 45
8/1b1n4/1P1k2p1/1B3p2/3BpP1P/4K3/8/8 w - - 1 68
8/p2rn3/R1p1kpp1/2R4p/5P2/1P1rBK1P/P4P2/8 w - - 9 39
8/r3nk2/3b1pp1/pr1p3p/R2P3P/1P3NP1/1K1B1P2/2R5 w - - 4 33
8/8/5Bp1/5p2/6p1/pk1b2P1/5P1P/2K5 w - - 4 69
8/p2b4/1p1k4/1P1p1p1p/P2P2pP/2R3P1/1r3PK1/3B4 w - - 3 43
8/2p1r2k/1p4p1/1P6/P6P/2Q1r1PK/8/8 w - - 16 49
8/7p/1N2ppk1/p6p/1p3P1P/1Pr1P1P1/P2RK1b1/8 w - - 1 45
8/5pbk/6p1/2Q1p3/7P/7q/1B3P1P/5K2 w - - 3 43
8/R4pk1/6pp/p1r1p3/b5P1/P2B1P2/3KP2P/8 w - - 3 34
8/2k2p2/r1nn2p1/1p1R1r1p/8/PB4PP/1PP5/1K1R4 w - - 0 39
8/Q4bpk/2p2p1p/N5q1/4P3/5PKP/6P1/8 w - - 5 36
8/6pp/ppb1k3/4pp2/1PP5/b1B2P1P/P1B1K1P1/8 w - - 0 32
8/kp2bp2/2p3p1/P1P1Pb1p/1B1K1P1P/P5P1/8/3R4 w - - 19 52
8/5p2/5Pk1/5Rp1/P3p1P1/4PbKB/8/r7 w - - 2 50
8/6kp/4p1p1/q7/1b1p1P2/1R1BnNP1/5R1P/6K1 w - - 1 43
8/6R1/1P1k4/1r5p/5P2/3K4/5P2/8 w - - 0 75
8/5k2/5p2/2B1p2P/1P2P3/7r/4K3/8 w - - 1 64
8/1pr1r3/6pk/P1n1p2p/1R1p3P/P4PP1/5K2/1B2R3 w - - 2 49
8/R6P/3b1k2/p7/P1P1Kp2/4p3/4B2r/8 w - - 1 68
8/1r6/1P1k4/1R2p1p1/1P3p2/7P/5nK1/8 w - - 0 48
8/kp4R1/p7/q6p/4P1pb/2P5/1PQ5/K7 w - - 0 56
8/5k2/3p4/1P6/1P1r3P/4b3/8/1R2K3 w - - 0 45
8/p2B4/1p4k1/2r5/4R3/2P2p2/PKP3bP/8 w - - 2 39
8/1r2p1b1/p1p1k1p1/PbB2p1p/3P1P1P/4P1P1/8/RR4K1 w - - 1 42
8/2b5/7R/p3k3/8/1Pr5/P4K2/3B4 w - - 13 64
8/6k1/4pr2/7p/5P2/p7/3N2K1/R7 w - - 0 45
8/6pk/7p/2b4P/R2nr3/1P6/P7/1K1R4 w - - 0 41
8/R5p1/7p/P1k4P/2r5/2K5/8/8 w - - 4 91
8/1p1N2pk/p2P3p/P1P3b1/6P1/1r4K1/4R3/8 w - - 6 63
8/8/p6p/1p4p1/1P3k2/q6P/6Q1/7K w - - 14 86
8/1R3p2/4bk2/4p1p1/4P3/8/5K2/8 w - - 3 68
8/5p1p/1p3p2/1P1k1N2/P2b1PP1/4R2P/3r4/6K1 w - - 1 42
8/5k1p/3r1np1/P4p2/5P2/3pK1PP/8/R4N2 w - - 3 35
8/5kp1/7p/3R1P1P/3P4/3K4/8/3r4 w - - 9 60
8/4k3/7R/r3pb1P/5p2/2N2P2/3K4/8 w - - 0 69
8/1p4pp/8/7R/2KP1k2/7P/8/2r5 w - - 6 44
8/R5pk/p4r2/5b1p/7P/4KNP1/8/8 w - - 46 92
8/1p4p1/p1r3k1/3R1p2/rP2pP2/2P5/1R4PP/6K1 w - - 1 35
8/R7/pk1p4/1p2p3/4P3/PPP3r1/2K5/8 w - - 6 41
8/6P1/1kr2n2/1p6/p1p2Q2/2P5/P5K1/8 w - - 0 82
8/3k1p2/3P1Q2/8/K3q3/8/8/8 w - - 1 50
8/p3k3/6B1/1p6/2n2B1p/2b3P1/P4P1P/6K1 w - - 0 35
8/7p/p7/5p2/2r1k3/6P1/1RP2K1P/8 w - - 1 42
8/p3r1p1/2k1B3/5P1p/7P/4B1P1/P7/6K1 w - - 0 35
